title,bundle,fanRating,fanRatingCount,Final Album,directory,Shares Elements With,Suggested directory,Suggested title,King Tom,Final song title,Type,album,length,composer,BPM,version,uuid,original_filename
"Beethoven Sonata No. 13 in E-flat Major, 4. Allegro and Beethoven Sonata No. 14 in C-sharp Minor, 1. Adagio-25",Piano,5,10,,,,,,,,,Piano,2586,,87,,4a04abbb619a4a9489cfae419ec62644,"Beethoven Sonata No. 13 in E-flat Major, 4. Allegro and Beethoven Sonata No. 14 in C-sharp Minor, 1. Adagio-25"
The Whole Wide World - v6,EWBAITE,5,3,None,\Ecce Homo,,,The Whole Wide World - v6,5,Bless the Whole Wide World,Full Song,Ecce Homo,229,,108,,4761468f4174466bb9386fa4904c72dd,The Whole Wide World 6
Up In The Clouds - v30,EWBAITE,4.94,18,None,\Unknown Album,East Coast or West Coast,,Up In The Clouds - v30,5,Up In The Clouds,Full Song,Unknown Album,178,Rivers Cuomo,113,30,44335e43447040b89b74afde87bde8cf,Up In The Clouds 30
The Bottle Of Wine Song,Patrick & Rivers,4.93,15,None,\1992-1993 Monterey Jack,,,,5,The Bottle of Wine Song,Full Song,1992-1993 Monterey Jack,156,Rivers Cuomo and Patrick Wilson,72,,5d2d44ea971942efa49bde45ea16dab1,03 The Bottle Of Wine Song
Let's Go To The 33rd Dimension - v8 2,EWBAITE,4.89,14,None,\Demos--Previous Versions,,Duplicate,Let's Go To The 33rd Dimension - v8 2,4.5,Let's Go to the 33rd Dimension,Full Song,Demos--Previous Versions,216,,68,8,7bb966bc270748c4beb5672e9acc8205,Let's Go To The 33rd Dimension 8 2
Always,The Green Years,4.85,23,None,\The Black Room\C.O.R_,,,Always - Black Room demo,4.5,,Full Song,C.O.R_,147,,65,,62353db506e5430497bb9e8340a959e2,113 Always
Expatriates In Paris 9,Weezma,4.83,9,None,,,,Expatriates In Paris - v9,4.5,Expatriates In Paris,Full Song,Weezma,225,,68,9,28b2179a12154956b567738e1178e37d,Expatriates In Paris 9
I'm So Alone,The Green Years,4.8,20,None,\The Maladroit Years\C.O.R_,,,I'm So Alone,3,I'm So Alone,Full Song,C.O.R_,240,Rivers Cuomo,72,,756f7fb839a9427a9f62533c6d4d5d0d,422 I'm So Alone
Meet Up With Our Maker - v9,EWBAITE,4.8,15,None,\Demos--Previous Versions,,,Meet Up With Our Maker - v9,5,Meet Up With Our Maker,Full Song,Demos--Previous Versions,253,,113,9,a18f03fc93584477b0bc4fa579e07e10,Meet Up With Our Maker 9
Alligator 5 short verses @82,The Pacific Daydream Black Years,4.8,5,,\The Black Album,,,,5,,Full Song,Demos--Previous Versions,222,,82,5,27a99ce0ce3542e7b98d947c60feafe7,Alligator 5 short verses @82
Up In The Clouds - v29,EWBAITE,4.79,14,None,\Demos--Previous Versions,East Coast or West Coast,,Up In The Clouds - v29,5,Up In The Clouds,Full Song,Demos--Previous Versions,201,,113,29,82526f77d980463f8d301fb33365f00e,Up In The Clouds 29
