title,bundle,fanRating,fanRatingCount,Final Album,directory,Shares Elements With,Suggested directory,Suggested title,King Tom,Final song title,Type,Explicit (Y/N),Album Cover,Recording Device,Fan Comment,Lyrics,artist,cowriter,album,length,comment,composer,feel,genesis,section,key,mode,suzyVerdict,suzyRating,suzyComment,scoreTotal,jd,jdComment,BPM,sitekrating,version,masterpiece,blue,vanweez,solo,rock,uuid,original_filename
-9,EWBAITE,3.64,11,None,\2 stars and below,,,,2,,Sketch,N,,,Acoustic,,Rivers Cuomo,,ideas--Used,395,used,Rivers Cuomo,,,,,,,,,,,,96,,,,,,,,99eeb174806a4f4e870e2453bb00ea62,-9 1
-5,The White Years,3.15,20,,\Rivers Cuomo,,,,,,,,,,,,Rivers Cuomo,,Rivers Cuomo,259,used,Rivers Cuomo,,,,,,,,,,,,65,,,,,,,,7eb4bfabdc6b47f1a2128ddd44658624,-5
-4,The White Years,3.06,16,,\Rivers Cuomo,,,,,,,,,,,,Rivers Cuomo,,Rivers Cuomo,174,work,Rivers Cuomo,,,,,,,,,,,,62,,,,,,,,b423d98f5380439889597cfbbf412280,-4
-3,The White Years,3,17,,\Rivers Cuomo,,,,,,,,,,,,Rivers Cuomo,,Rivers Cuomo,327,work,Rivers Cuomo,,,,,,,,,,,,72,,,,,,,,4ee10584021d40209018c4e393a85482,-3
-2,The White Years,2.78,18,,\Rivers Cuomo,,,,,,,,,,,,Rivers Cuomo,,Rivers Cuomo,165,work,Rivers Cuomo,,,,,,,,,,,,96,,,,,,,,25db47f591e149f2b7114ef447bee9f4,-2
1,Pre-Weezer,2.44,9,,"\1986 qqq Winter Slapping, Laughing & Tap",,,,,,,,,,,,Rivers Cuomo,,"1986 qqq Winter Slapping, Laughing & Tap",45,,Rivers Cuomo,,,,,,,,,,,,96,,,,,,,,4a89473df3a040e184b14864e65ef9e8,1
126,The White Years,2.9,5,None,,,,,1.5,,Sketch,N,,,,,,,The White Years,87,,Rivers Cuomo,,,,,,,,,,,,62,,,,,,,,27a3d17b31d14accb904404abb050d52,126 1
138,The White Years,2.57,7,,\Rivers Cuomo,,,,,,,,,,,,Rivers Cuomo,,Rivers Cuomo,88,used,Rivers Cuomo,,,,,,,,,,,,79,,,,,,,,c0f4b37a03624902918d235be2bfa401,138
355,The Green Years,2.83,6,,\The Maladroit Years\2 stars and below,,,,,,,,,,,,Rivers Cuomo,,C.O.R_,215,,Rivers Cuomo,,,,,,,,,,,,87,,,,,,,,49b3f641d5684e39bc93fbffda8ddbfb,355
366,The Green Years,3.4,5,,\The Maladroit Years\2 stars and below,,,,,,,,,,,,Rivers Cuomo,,C.O.R_,262,,Rivers Cuomo,,,,,,,,,,,,118,,,,,,,,b6dc87211aae48c9be87189f4517f21c,366
371,The Green Years,2.67,3,,\The Maladroit Years\2 stars and below,,,,,,,,,,,,Rivers Cuomo,,C.O.R_,38,,Rivers Cuomo,,,,,,,,,,,,72,,,,,,,,a229a06a2f384ca381d0833352191706,371
371.2,The Green Years,3.6,5,,\The Maladroit Years\2 stars and below,,,,,,,,,,,,Rivers Cuomo,,C.O.R_,207,,Rivers Cuomo,,,,,,,,,,,,87,,,,,,,,bb6ec12f1a3441bfb4247cb5f8cdc7a4,371.2
377,The Green Years,2.67,3,,\The Maladroit Years\2 stars and below,,,,,,,,,,,,Rivers Cuomo,,C.O.R_,164,,Rivers Cuomo,,,,,,,,,,,,65,,,,,,,,1128c4fa2d254ad780789a5dfdceb9e6,377
378.2,The Green Years,2.5,4,,\The Maladroit Years\2 stars and below,,,,,,,,,,,,Rivers Cuomo,,C.O.R_,232,,Rivers Cuomo,,,,,,,,,,,,100,,,,,,,,2b5a3027266e490ea64fbb2bcfe2645d,378.2
379.2,The Green Years,2.6,5,,\The Maladroit Years\2 stars and below,,,,,,,,,,,,Rivers Cuomo,,C.O.R_,168,,Rivers Cuomo,,,,,,,,,,,,84,,,,,,,,9817721e5441444db7a8e5a678966270,379.2
379.3,The Green Years,2.5,4,,\The Maladroit Years\2 stars and below,,,,,,,,,,,,Rivers Cuomo,,C.O.R_,194,,Rivers Cuomo,,,,,,,,,,,,62,,,,,,,,fe5302730e5d4966b9b813d2cf811192,379.3
380.2,The Green Years,2.5,4,,\The Maladroit Years\2 stars and below,,,,,,,,,,,,Rivers Cuomo,,C.O.R_,139,,Rivers Cuomo,,,,,,,,,,,,79,,,,,,,,101ff7e1cb044342916112a55996341f,380.2
380.3,The Green Years,3,4,,\The Maladroit Years\2 stars and below,,,,,,,,,,,,Rivers Cuomo,,C.O.R_,135,,Rivers Cuomo,,,,,,,,,,,,65,,,,,,,,9f2a6901d18040888ebe2387c4f5e023,380.3
