original_filename,bundle
Falling apart. Lawsuits.......,Maladroit
i want to take you home tonight (edi 2,Maladroit
291 Anything But Love,Maladroit
403,Maladroit
295 Take Back the Love,Maladroit
296.1 How Long,Maladroit
296.2 How Long,Maladroit
297.1 Love Canopy,Maladroit
297.2 Love Canopy,Maladroit
298 Don't Bring Me Down,Maladroit
299 On Holiday,Maladroit
300 I Want To Know,Maladroit
301.1 Still In Love With You,Maladroit
303 Don't Pick On Me,Maladroit
304 Your Room,Maladroit
306 Farmer John,Maladroit
307 Stupid Feelings,Maladroit
308.1 Song From Yesterday,Maladroit
313 Creepers,Maladroit
314.1 Possibilities,Maladroit
315 In Your Eyes,Maladroit
317.1 Sandwiches Time,Maladroit
317.2 Until You're Blue,Maladroit
318 Hendrix,Maladroit
320.1 Fall Together,Maladroit
321 Follow,Maladroit
322 Dream Warning,Maladroit
325 It's Only Rock and Roll,Maladroit
328 Lay Down,Maladroit
329 Your Right Man,Maladroit
330a I'm Gonna Crush You,Maladroit
330b Get You What You Want,Maladroit
331.1 riff,Maladroit
331.2 song (I wanna be big,Maladroit
bigger t,Maladroit
332.1 riff,Maladroit
334 Poor Beggar's Son,Maladroit
335 All Around Me,Maladroit
Everywhere,Maladroit
336 I'll Study You,Maladroit
337 I'm Scared,Maladroit
338 My Weakness,Maladroit
341 first riff,Maladroit
343 blues riff,Maladroit
344 Space Rock,Maladroit
346 Smiths Jam,Maladroit
346.2 Smiths Jamb,Maladroit
349 In Your Arms,Maladroit
351 You Wanna Get High,Maladroit
352.1 Flat Tire,Maladroit
352.2 Flat Tire,Maladroit
353. Sacrifice,Maladroit
354 Slave,Maladroit
355,Maladroit
356 Give Me Your Blessings,Maladroit
357 Message Board,Maladroit
358 Kind Support,Maladroit
359 Untenable,Maladroit
360 Private Message,Maladroit
361 The Bulging River,Maladroit
362 Queen of Hearts,Maladroit
365b Sugar Cookie,Maladroit
366,Maladroit
367 Lethe,Maladroit
369 Riff,Maladroit
369b Funeral for Music,Maladroit
371,Maladroit
373 Booby Trap,Maladroit
374 Buttafucco,Maladroit
375 Weezer Feel,Maladroit
376 Steamroller Action,Maladroit
380.4,Maladroit
381 The Organ Player,Maladroit
384 Perfect Situation,Maladroit
384,Maladroit
385 2002-10-08 turn me round (with o,Maladroit
385a turn me round,Maladroit
385b,Maladroit
386 Everybody Let's Rock,Maladroit
389 King of Earth,Maladroit
392 Baby Come Back,Maladroit
393 I don't Believe the Children Cam,Maladroit
395 This is My Home 2002-10-06,Maladroit
396 2002-10-15 Sugar Daddies rick ve,Maladroit
396 strum,Maladroit
397 2002-10-08 Broken Phone,Maladroit
397 2002-10-09 Furthest Of Seas,Maladroit
397.2,Maladroit
400,Maladroit
401,Maladroit
402,Maladroit
404 I Don't Need You (Chorus Voc Onl 2,Maladroit
409 short verse long chorus,Maladroit
409 shortest edit,Maladroit
411b,Maladroit
414 IVmaj 7 I,Maladroit
417 bill withers jamb,Maladroit
418b simplest guitar,Maladroit
420 aku,Maladroit
420.1,Maladroit
421a piano I iii IV V,Maladroit
421b Hold Me Now,Maladroit
423 I vi ii V 1_2 strum,Maladroit
425 I IV ii V iii vi ii V,Maladroit
Adio,Maladroit
Tell Me What I Want 419,Maladroit
320.2 Alt riff,Maladroit
372b mo beats with melodies instead,Maladroit
389 King of Earth 2,Maladroit
399,Maladroit
418a,Maladroit
333 I Admire You So Much,Maladroit
i want to take you home tonight (edi 3,Maladroit
i want to take you home tonight (edi,Maladroit
292 Through Others Eyes,Maladroit
293 Do You Want Me To Stay,Maladroit
294 A- Everybody Depends On A Friend,Maladroit
294 B Riff Version,Maladroit
294 b.2 Port of Ecstasy,Maladroit
297.3 Broken Arrows,Maladroit
301.2 Still In Love With You,Maladroit
302 The Dawn,Maladroit
305 Death and Destruction,Maladroit
309 Somewhere,Maladroit
312.1 Take Your Life,Maladroit
308.2 Song From Yesterday,Maladroit
310 Living Without You,Maladroit
314.2 Possibilities,Maladroit
311 You Can't Cope,Maladroit
316 Change The World,Maladroit
312.2 Take Your Life,Maladroit
319 Get Me On The Line,Maladroit
323 Warm For You,Maladroit
324.1 Down By The Tree,Maladroit
324.2 Down By The Tree,Maladroit
324.3 Down By The Tree,Maladroit
325.2 It's Only Rock n Roll,Maladroit
326 You Don't Love Me,Maladroit
327 Ever More,Maladroit
324.3b Down By The Tree,Maladroit
324.4 Down By The Tree,Maladroit
332.2 song,Maladroit
340 I Wanna Be With You,Maladroit
339 The Flowers In Your Hair,Maladroit
345 Wake Up Dry,Maladroit
347 Say You Will,Maladroit
348 Beneath The Sun,Maladroit
350 Sick Of All The Effort,Maladroit
358 Up Yours,Maladroit
359 Untouchable,Maladroit
363 Garbage Can,Maladroit
364 Wool Cap,Maladroit
365a Sugar Cookie,Maladroit
367 Lethe 2,Maladroit
368 Prodigy Lover,Maladroit
369 She Who Is Militant,Maladroit
370 acoustic blues riff,Maladroit
371 Hey Domingo,Maladroit
371.2,Maladroit
