"title","bundle.x","fanRating.x"
"a_few_screws_lucy_1_116_1_bd_sitek","The Pacific Daydream Black Years",3.6
"a_few_screws_lucy_2_fire_bridge_111_1_bd_sitek","The Pacific Daydream Black Years",4.29
"a_glorious_moment","The Blue-Pinkerton Years",4.07
"aint_got_nobody_v18","EWBAITE",4.05
"aint_got_nobody_v19","EWBAITE",4.36
"aint_got_nobody_v20","EWBAITE",4.1
"aint_got_nobody_v21","EWBAITE",4.46
"aint_got_nobody_v22","EWBAITE",4.52
"aint_got_nobody_v23","EWBAITE",4.55
"aint_got_nobody_v24","EWBAITE",4.23
"aint_got_nobody_v3","EWBAITE",4.69
"aint_got_nobody_v5","EWBAITE",4
"aint_got_nobody_v6","EWBAITE",3.61
"aint_got_nobody_v7","EWBAITE",4.5
"aint_got_nobody_v8","EWBAITE",4.38
"aint_got_nobody_voice_memo","EWBAITE",3.17
"all_i_wanna_do_2004_4_23","The Make Believe Years",4.52
"all_i_want_to_do_2004_unchained_melody","The Make Believe Years",4.69
"america_with_bridge_want_meant_to_happen_2018_3_14_11_42_27","The Pacific Daydream Black Years",3.83
"angela_28_1_bongoloop_aj_85","The Pacific Daydream Black Years",3.08
"angela_28_2_bongoloop_aj_82","The Pacific Daydream Black Years",3.34
"angela_28_3_bongoloop_aj_82","The Pacific Daydream Black Years",2.82
"anonymous_v1","EWBAITE",3
"anonymous_v11","EWBAITE",3.9
"anonymous_v12","EWBAITE",4.08
"anonymous_v13","EWBAITE",4.55
"anonymous_v14","EWBAITE",4
"anonymous_v14_2","EWBAITE",4.14
"anonymous_v15","EWBAITE",3.75
"anonymous_v16","EWBAITE",4.58
"anonymous_v18","EWBAITE",3.9
"anonymous_v19","EWBAITE",4.59
"anonymous_v2","EWBAITE",3.94
"anonymous_v20","EWBAITE",4.44
"anonymous_v21","EWBAITE",3.67
"anonymous_v22","EWBAITE",4.53
"anonymous_v23","EWBAITE",4.13
"anonymous_v23_lead_voc_only","EWBAITE",2.62
"anonymous_v24","EWBAITE",4.59
"anonymous_v25","EWBAITE",4.28
"anonymous_v26","EWBAITE",4
"anonymous_v27","EWBAITE",4.82
"anonymous_v28","EWBAITE",3.88
"anonymous_v3","EWBAITE",3.83
"anonymous_v30","EWBAITE",4.88
"anonymous_v4","EWBAITE",3.89
"anonymous_v5","EWBAITE",4.1
"anonymous_v6","EWBAITE",4.09
"anonymous_v7","EWBAITE",4.44
"anonymous_v8","EWBAITE",4.42
"any_friend_of_dianes_1_bong_aj_92","The Pacific Daydream Black Years",3.08
"any_friend_of_dianes_10_verse_tweaks_88","The Pacific Daydream Black Years",4.12
"any_friend_of_dianes_12_short_verse_dirty_hands_90","The Pacific Daydream Black Years",4.31
"any_friend_of_dianes_2_aj_89","The Pacific Daydream Black Years",2.45
"any_friend_of_dianes_3_angela_verse_90","The Pacific Daydream Black Years",3.62
"any_friend_of_dianes_4_angela_verse_90","The Pacific Daydream Black Years",3.79
"any_friend_of_dianes_6_three_verses_88","The Pacific Daydream Black Years",4.5
"any_friend_of_dianes_7_og_melody_88","The Pacific Daydream Black Years",3.9
"any_friend_of_dianes_8_welcome_verse_89","The Pacific Daydream Black Years",3.91
"any_friend_of_dianes_9_dominos_verse_89","The Pacific Daydream Black Years",3.75
"anything_but_love","The Green Years",3.75
"autopilot","The Red-Raditude-Hurley Years",3.5
"autopilot_sped_up","The Red-Raditude-Hurley Years",3.62
"awaken_early_guitar_riff","The White Years",2.5
"awaken_early_v2_118_melody","The White Years",3.58
"awaken_early_v4_118_90s_dance","The White Years",2.7
"back_of_your_heart_rough_1_mar_17","EWBAITE",4.34
"back_to_the_shack_2013_12_4_sketch_1","EWBAITE",2
"back_to_the_shack_2013_12_4_sketch_2","EWBAITE",1.67
"back_to_the_shack_2013_12_4_sketch_3","EWBAITE",1.4
"back_to_the_shack_2013_12_4_sketch_4","EWBAITE",1.67
"back_to_the_shack_2013_12_4_sketch_5","EWBAITE",2
"back_to_the_shack_2013_12_4_sketch_6","EWBAITE",2.9
"bad_girl","The Red-Raditude-Hurley Years",4.42
"bad_girl_2008_edit","The Red-Raditude-Hurley Years",4.35
"bad_girl_with_overdubs","The Red-Raditude-Hurley Years",4.56
"ballad_of_the_brine_rough_1_nov","EWBAITE",4.59
"ballad_of_the_briny_rough_4_jan","EWBAITE",4.69
"ballad_of_the_briny_rough_4_sept_30","EWBAITE",4.78
"beach_boys_6_acoustic_99","The Pacific Daydream Black Years",4.45
"beach_boys_7_post_lyric_99","The Pacific Daydream Black Years",4.57
"beatle_that_we_loved_the_most_21","Weezma",4.65
"beautiful_lies_3_tweaked_chorus_melody_128","The Pacific Daydream Black Years",4.38
"beautiful_lies_4_inst_64","The Pacific Daydream Black Years",3.38
"beautiful_lies_4_no_drums_64","The Pacific Daydream Black Years",4.07
"beautiful_lies_v2_126","The White Years",4.6
"beautiful_triplet_melody_on_the_pian","EWBAITE",4.33
"beverly_hills_2004_07_20","The Make Believe Years",4.29
"black_hole_mini_suite","The Blue-Pinkerton Years",4.45
"break_me_2004_05_18","The Make Believe Years",3.92
"butterfly","The Blue-Pinkerton Years",4.65
"butterfly_2","The Blue-Pinkerton Years",4.56
"butterfly_2012_1_20_weezer_cruise","EWBAITE",4.88
"butterfly_2012_1_21_weezer_cruise","EWBAITE",4.61
"c_minor_piano_2015_1_21_15_11_32","The White Years",2.93
"cali_melody_verse","The Pacific Daydream Black Years",3.4
"california_kids_ideas","EWBAITE",3.38
"california_snow_1_sluggish_playboy_134","The Pacific Daydream Black Years",3.6
"california_snow_2_sluggish_playboy_71","The Pacific Daydream Black Years",3.71
"california_snow_2015_3_4_bridge_sketch","The White Years",3.5
"california_snow_21_vocals_75_4_32_bars","The Pacific Daydream Black Years",3.5
"cancer_rough_1_nov_3","EWBAITE",4.54
"cancer_rough_1_nov_3_instrumental","EWBAITE",4.36
"cant_find_you_3","The White Years",4.24
"cant_knock_the_hustle_1_100_2_az_17","The Pacific Daydream Black Years",3.88
"cant_knock_the_hustle_2_100_2_az_19","The Pacific Daydream Black Years",3.71
"cant_knock_the_hustle_2_100_2_az_19_1","The Pacific Daydream Black Years",3.33
"cant_stop_partying_emo_edit","The Red-Raditude-Hurley Years",4.56
"casual_groove_on_piano","The Red-Raditude-Hurley Years",3.44
"clarinet_waltz_sftv","The Blue-Pinkerton Years",4.3
"clarinet_waltz_slow_sftv","The Blue-Pinkerton Years",4.35
"cleopatra","EWBAITE",4.48
"cleopatra_5","EWBAITE",3
"cleopatra_v10","EWBAITE",3.92
"cleopatra_v11","EWBAITE",3.8
"cleopatra_v12","EWBAITE",4.11
"cleopatra_v12_1","EWBAITE",3.92
"cleopatra_v14","EWBAITE",4
"cleopatra_v15","EWBAITE",4.25
"cleopatra_v16","EWBAITE",4.45
"cleopatra_v17","EWBAITE",3.83
"cleopatra_v18","EWBAITE",3.67
"cleopatra_v19","EWBAITE",4.5
"cleopatra_v2","EWBAITE",2.67
"cleopatra_v20_no_bridge","EWBAITE",2.83
"cleopatra_v21","EWBAITE",4
"cleopatra_v22","EWBAITE",4.12
"cleopatra_v23_verse_chords","EWBAITE",4.12
"cleopatra_v24_og","EWBAITE",3.62
"cleopatra_v25","EWBAITE",3.5
"cleopatra_v26","EWBAITE",3.62
"cleopatra_v27","EWBAITE",4.25
"cleopatra_v28","EWBAITE",3.44
"cleopatra_v29","EWBAITE",4.56
"cleopatra_v3","EWBAITE",3
"cleopatra_v33","EWBAITE",4.25
"cleopatra_v4","EWBAITE",3.4
"cleopatra_v7","EWBAITE",4.18
"cleopatra_v8","EWBAITE",3.88
"cleopatra_v9","EWBAITE",4.42
