"","(uniqueType)"
"1","x"
"2","full_song"
"3","song_suite"
"4","instrumental"
"5","voice_memo_with_guitar"
"6","sketch"
"7","full_song_acoustic"
"8","acoustic_full_song"
"9","partial_song"
"10","vocal_piano"
"11","voice_memo"
"12","song_snippet"
"13","acoustic"
"14","voice_memo_with_guiatar"
"15","guitar_and_vocals_only"
"16","sketch_full_song"
"17","voice_memo_with_piano"
"18","reading"
"19","partial_vocal"
"20","acoustic_demo"
"21","vocals_only"
"22","vocal_take"
"23","acoustic_instrumental_sketch"
"24","riff"
"25","voice_memo_on_guitar_and_piano"
"26","voice_note"
"27","full_song_on_handheld_recorder"
"28","beat_chord_progression"
"29","voice_memo_with_piano_and_guitar"
"30","vocals"
"31","instrumental_sketch"
"32","voice_memo_with_farfisa"
"33","voice_memo_on_piano"
"34","sketches"
"35","spoken_word"
"36","acoustic_sketch"
"37","guitar_sketch"
"38","piano_sketch"
"39","vocal_sketch"
"40","live_recording"
"41","beatboxing"
"42","beat_boxing"
"43","beat_box"
"44","piano"
"45","full"
"46","voice_memo_with_g_uitar"
"47","riffs"
"48","instrumental_piano_sketch"
"49","vocal_effects"
"50","discussion"
"51","piano_and_drums"
"52","guitar_riff"
"53","acoustic_riff"
"54","vocal_track"
"55","voice_note_with_guitar"
"56","conversation"
"57","electric_guitar_riff"
"58","voice_sketch"
"59","voice_memo_with_percussion"
"60","melody_idea"
"61","vocal_note"
"62","scatting"
"63","melody"
"64","collab"
