"","bundle","numberOfSongs","averageFanRating","standardDeviation","standardError","confidenceInterval"
"1","EWBAITE",1208,3.16414735099338,1.06646296970844,0.0306840239531864,0.0601999485713799
"2","Patrick_and_Rivers",43,3.70325581395349,0.794201368642417,0.121114573274167,0.244419104269259
"3","Piano",66,4.00318181818182,0.384760301370203,0.0473607191653157,0.0945858876137597
"4","Pre-Weezer",147,2.43163265306122,0.862581376598893,0.0711445128539041,0.140606148827007
"5","The_Blue-Pinkerton_Years",106,4.1961320754717,0.436757687543141,0.0424216567186505,0.0841143088814304
"6","The_Green_Years",636,3.04929245283019,0.951736069418783,0.037738789951886,0.0741079205108475
"7","The_Make_Believe_Years",167,4.07293413173653,0.435724450587817,0.0337173702848025,0.0665701517919323
"8","The_Pacific_Daydream_Black_Years",395,3.49516455696203,0.756240474712505,0.0380505877661616,0.0748075773614797
"9","The_Red-Raditude-Hurley_Years",211,3.12843601895735,0.994077662689572,0.0684351285676994,0.134907865674301
"10","The_White_Years",478,2.88918410041841,0.865564347112308,0.0395899917351578,0.0777923434944679
"11","Weezma",63,3.81380952380952,0.574109207806737,0.0723309613928061,0.14458753162386
