"","bundle","numberOfSongs","averageFanRating","standardDeviation","standardError","confidenceInterval"
"1","EWBAITE",363,3.88228650137741,0.703658557259147,0.0369324961319229,0.0726291870863001
"2","Patrick_and_Rivers",21,4.10809523809524,0.482105995063524,0.105204153112886,0.219452017894041
"3","Piano",65,4.01446153846154,0.375782644827893,0.0466101006144585,0.093114380188235
"4","Pre-Weezer",113,2.53247787610619,0.848270857784751,0.079798609795977,0.158110716316061
"5","The_Blue-Pinkerton_Years",30,4.07066666666667,0.547073299844087,0.0998814623111314,0.204280527418286
"6","The_Green_Years",180,3.72255555555556,0.783472518242007,0.058396593643069,0.1152343155537
"7","The_Make_Believe_Years",104,3.98884615384615,0.456468733055078,0.0447604418690927,0.0887717794631881
"8","The_Pacific_Daydream_Black_Years",170,3.564,0.55323085479592,0.0424308696378574,0.0837627987356219
"9","The_Red-Raditude-Hurley_Years",56,3.23196428571429,0.899133764227563,0.120151803236426,0.240789594478743
"10","The_White_Years",185,3.06172972972973,0.774191185544232,0.0569196679908259,0.112299120638442
"11","Weezma",23,4.26391304347826,0.355102278869762,0.0740439436088603,0.15355774049182
