title,bundle,fanRating
"Beethoven Sonata No. 13 in E-flat Major, 4. Allegro and Beethoven Sonata No. 14 in C-sharp Minor, 1. Adagio-25",Piano,5
The Whole Wide World - v6,EWBAITE,5
Up In The Clouds - v30,EWBAITE,4.94
The Bottle Of Wine Song,Patrick & Rivers,4.93
Everybody Needs Salvation - rough 1,EWBAITE,4.91
Let's Go To The 33rd Dimension - v8 2,EWBAITE,4.89
I Was Made For You,The Make Believe Years,4.88
Anonymous - v30,EWBAITE,4.88
Butterfly - 2012-1-20 Weezer Cruise,EWBAITE,4.88
I Just Threw Out the Love of My Dreams - SFTBH,The Blue-Pinkerton Years,4.86
Always,The Green Years,4.85
I Was Made For You - 2004-02-06,The Make Believe Years,4.84
Tell Me What You Did - 2004-06-04,The Make Believe Years,4.83
Pacific Sunset - v12 cleaned solo @124 to 185 +1 to -3,EWBAITE,4.83
Expatriates In Paris 9,Weezma,4.83
Haunt You Every Day - 2004-04-23,The Make Believe Years,4.82
Anonymous - v27,EWBAITE,4.82
I'm So Alone,The Green Years,4.8
Meet Up With Our Maker - v9,EWBAITE,4.8
Alligator 5 short verses @82,The Pacific Daydream Black Years,4.8
Up In The Clouds - v29,EWBAITE,4.79
Ballad Of The Briny - Rough 4 Sept 30,EWBAITE,4.78
Devotion - Parson Brown,The Blue-Pinkerton Years,4.77
Cockroach - Rough 7 Aug 9,EWBAITE,4.77
Return to Ithaca - v3,EWBAITE,4.76
Salvation 1,EWBAITE,4.76
Only A Cockroach - RC2,EWBAITE,4.76
Let's Go To The 33rd Dimension - v 10,EWBAITE,4.75
Island in the Sun 109,The Green Years,4.75
Thrown It All Away,Patrick & Rivers,4.75
East Coast Or West Coast - v3,EWBAITE,4.75
My Brain - mix 9.1 (16372),The Red-Raditude-Hurley Years,4.75
The British Are Coming - v17,EWBAITE,4.75
The Waste Land - v5 2,EWBAITE,4.75
02 Lover In The Snow,The Green Years,4.74
"Intro. (also Always, Forever) - 2004 Unchained Melody",The Make Believe Years,4.74
07 I don't wanna let you go.vso.3sho,The Red-Raditude-Hurley Years,4.74
Oh She Left Me There,The Green Years,4.74
J Is For Joy 6 discovered @135 +4,The Pacific Daydream Black Years,4.74
Pacific Sunset 6 show me,The White Years,4.73
Getchoo - Don Slacks,The Blue-Pinkerton Years,4.73
80's Prom Night - v5,The White Years,4.73
Little Do They Know 4 hi sky @89 -5,The Pacific Daydream Black Years,4.73
Still Dreaming 5 solo @67 -6 to -3,The Pacific Daydream Black Years,4.73
Let's Go To The 33rd Dimension - v6,EWBAITE,4.73
Tell Me What I Want,The Green Years,4.73
10 Waiting on You,The Blue-Pinkerton Years,4.72
12 Pig 2,The Red-Raditude-Hurley Years,4.72
The Waste Land - v1,EWBAITE,4.72
Till You Set Me Right - 2004-06-04,The Make Believe Years,4.72
The Ballad Of St. George - v9,EWBAITE,4.71
Let's Go to the 33rd Dimenson - v8,EWBAITE,4.71
Weekend Girl - v2,EWBAITE,4.7
01 The Prettiest Girl In The Whole W,The Green Years,4.7
Crazy One,The Green Years,4.7
Let's Go To The 33rd Dimension - v9,EWBAITE,4.7
Volunteers - v10,EWBAITE,4.7
Pacific Sunset - v7,EWBAITE,4.7
Up In The Clouds - v26,EWBAITE,4.7
East Coast Or West Coast - v5 - vPa,EWBAITE,4.7
I Was Scared - 2008 Edit,The Make Believe Years,4.7
Too Many Thoughts In My Head 4 @126 +4,The Pacific Daydream Black Years,4.7
The Ivory Telephone - v10,EWBAITE,4.69
Pacific Sunset 5 extendo,The White Years,4.69
Ballad Of The Briny - Rough 4 Jan,EWBAITE,4.69
All I Want to Do - 2004 Unchained Melody,The Make Believe Years,4.69
Ain't Got Nobody - v3,EWBAITE,4.69
The British Are Coming - v31,EWBAITE,4.69
Since You Came Around 14,The White Years,4.68
I Was Made For You - 2004-06-04,The Make Believe Years,4.68
